company_name,hq_country,industry,description
Monster Puppet Corporation,Spain,Spain,"videogames, tech-art, technical-animation, co-development"
Little Paper Towns,Spain,Spain,"Local, Expats, Adventures, Exploration"
GENBIOMA,Spain,Spain,"Microbiome, Metabolic Health, Diabetes"
Letterly,Spain,Spain,"voice, text, ai, writing"
SERP Empire,Spain,Spain,"SEO, Advertising, Digital Marketing, Marketing, Serp, Keywords, SEO Platform, Traffic"
Waverox,Spain,Spain,"mind tracker, mental health, wellness app"
Fracttal,Spain,Spain,"Maintenance, IoT, Smart Maintenance, Technology"
Easymailing,Spain,Spain,"Marketing, Email Marketing, Digital Marketing, Automated Marketing"
INSECT BIOTECH GROUP,Spain,Spain,"agriculture, waste, sustainable, protein"
Kliks Digital,Spain,Spain,"seo, lead generation, growth marketing, linkedin content"
Indaru,Spain,Spain,"data science, marketing, audits"
Marketing from the Heart | Fractional CMO,Spain,Spain,"CMO, Marketing, Fractional CMO"
AI Prompter JOBS,Spain,Spain,"IA, Trabajos, Ingenieros Prompts"
LEVOX,Spain,Spain,"batteries, data, swapping, fast"
oceansix,Spain,Spain,"reusable packaging, ecommerce, sustainable engineering"
BetterPic,Spain,Spain,"Avatars, Image Generator, Business Portraits"
Salupeques,Spain,Spain,"health, baby, youths"
DITEC Technology,Spain,Spain,"soluciones,tecnología,antivirus"
YourTeam.tech,Spain,Spain,"Recruiment Services, Staffing Agency, Hr"
Rally – LGBTQ+ Sports and Fitness,Spain,Spain,"Sports Teams, Clubs, Community, Social Network"
Paseo,Spain,Spain,"Apps, Travel, Technology, Information"
NM-IoT,Spain,Spain,"IT, Internet, Information"
Flexyfreight,Spain,Spain,"supply chain, online platform, LCL shipping"
Cardee Technologies,Spain,Spain,"Mobile Apps, Software, Digital business cards"
Asprofa,Spain,Spain,"Pharmacy, Community Pharmacy, Hospital Pharmacy, Pharmaceutical Industry"
Reviewly,Spain,Spain,"HR, Recruiting, Candidate evaluation"
WERTYK,Spain,Spain,"Blockchain Services, Fintech, Real State"
Vankor,Spain,Spain,"Blockchain, Finance, DeFi"
Teen,Spain,Spain,"Human Resources, Hiring, Software Development"
RobinSun,Spain,Spain,"Solar Energy, eCommerce, Renewable energy"
Rally,Spain,Spain,"Sports Teams, Clubs, Social Network, LGBT"
Mineo,Spain,Spain,"Analytics, SaaS, Software, Data Infrastructure"
ioni,Spain,Spain,"customer support, generative AI, automation, chatGPT"
Hola Cosmos,Spain,Spain,"Individual, Family Services, Healthtech"
D-Sight,Spain,Spain,"Biotechnology Research, Healthcare, neurodegenerative diseases"
Dedge Security,Spain,Spain,"Blockchain, Cyber Security, Net Security"
Wilgo,Spain,Spain,"Financial Services, FinTech, Real state"
Mitte,Spain,Spain,"SaaS, Software company, IT Services"
iKing.io,Spain,Spain,"Bitcoin, Crptocurrency, blockchain, e-commerce"
Hydros Power,Spain,Spain,"Renewable Energy, Power Generation, Insdutrial"
Clous,Spain,Spain,"Software Development, SaaS, Human Resources"
Cardee,Spain,Spain,"Software, Tech, Internet"
BlackfishID,Spain,Spain,"Computer Tech, Network Security, Artificial Intelligence"
Claroly,Spain,Spain,"E-commerce, Retail, B2B"
QR-PAY,Spain,Spain,"payment app, finance, qr payments, Hospitality"
Droyz Toys,Spain,Spain,"phygital, collectibles, technology, blockchain"
GELUKIG,Spain,Spain,"Mental Health, Wellness, Emotions, Mobile App"
Grow My Enterprise,Spain,Spain,"Marketing, Strategy, Digital, Innovation"
Feature Flux,Spain,Spain,"Apps, Software, SaaS, B2B, Product Management, Product Design, Technology."
Formadores IT,Spain,Spain,"edtech, education, big data, data science"
TemplatesGo,Spain,Spain,"Saas, document generator"
Villae,Spain,Spain,"Real Estate, SaaS, PropTech, Software"
Voicit,Spain,Spain,"Software Development, transcription services, automated processes"
WE,Spain,Spain,"mobile app, Software, online shopping"
Kodo People,Spain,Spain,"Behavioral Science, Talent Intelligence, Assessment"
CRUWI,Spain,Spain,"Ecommerce, Marketing, Referral"
Crowdgenix,Spain,Spain,"DEX, Multi-asset Classes,"
Cober.io,Spain,Spain,"ECommerce Businesses, Internet Outages"
Clevergy,Spain,Spain,"Energy, Software, Transition"
Buscoresi,Spain,Spain,"Software Development,Top Priorities, Perfect student"
Amaxwire,Spain,Spain,"ress & newswire, news platform, websites"
Bloome,Spain,Spain,"dermatology , medical treatments, face hydration"
Biela,Spain,Spain,"IT ,marketing projects, B2B"
Basquevolt,Spain,Spain,"Lithium batteries, Electric transportation, Solid-state batteries"
Atomic.green,Spain,Spain,"APR,DEXes, Blockchain, Timeus Lab"
ARTIAL,Spain,Spain,"AI-driven, BVLOS,"
Animum,Spain,Spain,"Art and Digital Technology, 3D Production Area, Videogames, Building and Advertising industries"
Tonto,Spain,Spain,"social audio app, podcast app, voice recorder"
Samara,Spain,Spain,"energy, household, clean tech, sustainability"
Piktalent,Spain,Spain,"employability, universities"
Pueblos Españoles,Spain,Spain,"turismo, repoblar, pueblos"
Muoki,Spain,Spain,"marketplace, second-hand, furniture, online"
Orbyn,Spain,Spain,"fintech, financial services,"
Trackey,Spain,Spain,#customerfeedback #productgrowth #feedbackloops #productdiscovery
evesi,Spain,Spain,"ai, advertising, public relations,"
Workables,Spain,Spain,"Business Content, Music, Advertising"
WOODEA,Spain,Spain,"contech, industrialized construction, technical wood, building"
WeBind,Spain,Spain,"Insurance, Insurtech, Civil Liability, Online sales"
WE,Spain,Spain,"Retail, Apparel, Fashion, Shopping"
WAVIC,Spain,Spain,"Musicians, Music, Producer, Band"
Watt Deep Tech,Spain,Spain,"artificial intelligence, data science, deep technology, electric vehicles"
VUMI,Spain,Spain,"Software Development, Wealth Technology, Data Aggregation, Investment Reporting"
Voltic,Spain,Spain,"Wireless Services, IoT, Home automation, Smart lighting"
Unlockd,Spain,Spain,"Financial Services, Decentralized Finance, Blockchain, NFT financialization"
