company_name,hq_country,industry,description,risk_category,confidence_score,detected_triggers
Monster Puppet Corporation,Spain,Spain,"videogames, tech-art, technical-animation, co-development",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Little Paper Towns,Spain,Spain,"Local, Expats, Adventures, Exploration",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
GENBIOMA,Spain,Spain,"Microbiome, Metabolic Health, Diabetes",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Letterly,Spain,Spain,"voice, text, ai, writing",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
SERP Empire,Spain,Spain,"SEO, Advertising, Digital Marketing, Marketing, Serp, Keywords, SEO Platform, Traffic",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Waverox,Spain,Spain,"mind tracker, mental health, wellness app",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Fracttal,Spain,Spain,"Maintenance, IoT, Smart Maintenance, Technology",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Easymailing,Spain,Spain,"Marketing, Email Marketing, Digital Marketing, Automated Marketing",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
INSECT BIOTECH GROUP,Spain,Spain,"agriculture, waste, sustainable, protein",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Kliks Digital,Spain,Spain,"seo, lead generation, growth marketing, linkedin content",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Indaru,Spain,Spain,"data science, marketing, audits",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Marketing from the Heart | Fractional CMO,Spain,Spain,"CMO, Marketing, Fractional CMO",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
AI Prompter JOBS,Spain,Spain,"IA, Trabajos, Ingenieros Prompts",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
LEVOX,Spain,Spain,"batteries, data, swapping, fast",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
oceansix,Spain,Spain,"reusable packaging, ecommerce, sustainable engineering",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
BetterPic,Spain,Spain,"Avatars, Image Generator, Business Portraits",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Salupeques,Spain,Spain,"health, baby, youths",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
DITEC Technology,Spain,Spain,"soluciones,tecnología,antivirus",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
YourTeam.tech,Spain,Spain,"Recruiment Services, Staffing Agency, Hr",High Risk,0.95,Automated human/financial evaluation or HR systems
Rally – LGBTQ+ Sports and Fitness,Spain,Spain,"Sports Teams, Clubs, Community, Social Network",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Paseo,Spain,Spain,"Apps, Travel, Technology, Information",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
NM-IoT,Spain,Spain,"IT, Internet, Information",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Flexyfreight,Spain,Spain,"supply chain, online platform, LCL shipping",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Cardee Technologies,Spain,Spain,"Mobile Apps, Software, Digital business cards",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Asprofa,Spain,Spain,"Pharmacy, Community Pharmacy, Hospital Pharmacy, Pharmaceutical Industry",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Reviewly,Spain,Spain,"HR, Recruiting, Candidate evaluation",High Risk,0.95,Automated human/financial evaluation or HR systems
WERTYK,Spain,Spain,"Blockchain Services, Fintech, Real State",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Vankor,Spain,Spain,"Blockchain, Finance, DeFi",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Teen,Spain,Spain,"Human Resources, Hiring, Software Development",High Risk,0.95,Automated human/financial evaluation or HR systems
RobinSun,Spain,Spain,"Solar Energy, eCommerce, Renewable energy",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Rally,Spain,Spain,"Sports Teams, Clubs, Social Network, LGBT",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Mineo,Spain,Spain,"Analytics, SaaS, Software, Data Infrastructure",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
ioni,Spain,Spain,"customer support, generative AI, automation, chatGPT",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Hola Cosmos,Spain,Spain,"Individual, Family Services, Healthtech",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
D-Sight,Spain,Spain,"Biotechnology Research, Healthcare, neurodegenerative diseases",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Dedge Security,Spain,Spain,"Blockchain, Cyber Security, Net Security",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Wilgo,Spain,Spain,"Financial Services, FinTech, Real state",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Mitte,Spain,Spain,"SaaS, Software company, IT Services",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
iKing.io,Spain,Spain,"Bitcoin, Crptocurrency, blockchain, e-commerce",Specific Transparency Risk,0.9,AI/ML tech stack or generative models detected
Hydros Power,Spain,Spain,"Renewable Energy, Power Generation, Insdutrial",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
Clous,Spain,Spain,"Software Development, SaaS, Human Resources",Minimal Risk,0.85,"Standard software, web development, or traditional SaaS"
